max_gray_scale,min_gray_scale,mean_gray_scale,std_gray_scale,mean_luminance,std_luminance,mean_red,std_red,mean_green,std_green,mean_blue,std_blue,ntu
166,0,45.57591228,28.30684261,14.93730035,12.87409713,39.81372076,6.405509427,46.01665205,6.991400629,47.59549123,8.319818242,71
179,0,45.82574903,28.45892253,15.21258385,13.1276104,40.49668908,6.461187146,46.8970575,7.054583162,48.30166082,8.455528531,72
194,0,46.46682846,28.74812324,15.02136232,12.92531859,40.27621101,6.604471163,46.22456676,7.08503991,47.6669576,8.509170057,70
165,0,48.79874366,29.96508169,15.83640091,13.71068563,41.38336891,6.311474089,48.94059064,7.581163995,51.36825585,8.912190176,79
160,0,48.0500039,29.49541416,15.53282508,13.47321149,40.44133431,6.43500409,48.05619444,7.527042707,50.28888207,8.732858586,78
166,0,48.81458577,30.33691997,16.06704851,13.93996191,41.78907651,6.426166058,49.71725585,7.712980356,52.06380166,9.11115515,78
168,0,47.14368226,30.5995064,15.49134387,13.31020359,41.34007992,6.529448483,47.64507846,7.805195076,49.99128119,9.074491244,79
132,0,48.04378558,28.51219173,15.55717602,13.52499212,40.32082164,5.952106069,48.19671248,7.13124492,50.26360965,8.389647832,76
160,0,47.48360234,29.19299043,15.46513529,13.33795073,40.60435429,6.359919732,47.68969981,7.489279755,50.62668762,8.488548125,77
172,0,49.2032729,28.72982899,15.64101087,13.54937364,40.83949269,6.216544303,48.35279727,7.278849703,50.67362671,8.442537044,80
160,0,48.72272125,28.67110393,15.58446601,13.48444168,40.76599513,6.184397302,48.14509844,7.350674542,50.59796491,8.423052835,80
176,0,47.98072515,28.89103578,15.51672145,13.40394134,40.68505799,6.253096943,47.89093519,7.412826399,50.53911598,8.491358247,81
208,0,47.21636452,30.19158302,15.44461568,13.2285158,41.30329483,6.764261741,47.4207963,7.790235783,50.37968226,8.878968144,80
