max_gray_scale,min_gray_scale,mean_gray_scale,std_gray_scale,mean_luminance,std_luminance,mean_red,std_red,mean_green,std_green,mean_blue,std_blue,ntu
192,6,111.4234231,16.66096564,37.24128157,30.79824212,113.3555149,4.892384868,111.5411509,4.073734615,108.7289632,4.130992522,15
207,7,112.3855373,16.73501484,37.56199875,30.9557887,115.5718065,4.899318919,112.2242752,4.183003208,108.7621689,4.044701028,19
190,28,113.1925094,17.70582856,37.38051689,30.79491493,115.1624392,4.934674507,111.6515399,4.469521793,108.1002039,4.367893925,19
198,30,113.8672063,16.10373829,37.70040779,31.0663741,116.1357763,4.591059307,112.6220679,4.033137767,108.9121105,4.022275516,20
220,4,112.9105406,16.64620228,37.61589194,30.99436354,115.866177,4.733749512,112.3659877,4.171632048,108.730917,4.132451142,18
199,30,112.1461714,18.28615905,37.30790693,30.75978932,114.8207127,5.228556826,111.4870501,4.547279241,107.718823,4.460108443,17
195,31,113.7856538,15.38658871,37.67780814,31.02628665,116.1839277,4.604727652,112.5079644,3.84417624,108.9615689,3.684908499,19
182,38,113.7305471,15.65749788,37.45344865,30.90302021,115.0760148,4.602995769,111.9768523,3.931289608,108.1626099,3.752981199,19
203,25,112.1451716,16.7381472,37.54713474,30.92234138,115.8046371,4.767063706,112.1226955,4.168408286,108.465188,4.153684069,18
186,21,111.264386,17.31908034,37.27057684,30.81186118,114.0490362,5.094965859,111.5690067,4.289708051,107.6281416,4.195906879,18
202,19,111.9462855,18.64652522,37.28752522,30.73142601,114.8038164,5.279814787,111.4022681,4.629912533,107.7615259,4.580973804,18
174,35,108.5465137,15.93024969,36.14125308,29.56356804,115.4327338,4.570553364,107.2813463,3.96316775,99.10167789,3.840712678,22
176,36,111.3474289,15.15779554,36.62372065,29.9694043,117.491763,4.542171299,108.6947269,3.646035913,99.08510335,3.520478508,20
171,26,107.1166077,17.30121287,36.01151136,29.42551347,115.4025201,4.762435247,106.8107005,4.345000478,98.46184624,4.254991079,20
177,39,110.7956416,14.49008313,36.32741624,29.73460814,116.031048,4.278166913,107.8671095,3.588543645,99.27273101,3.579988331,21
168,35,108.5161181,15.38332829,36.14197498,29.57630136,115.1698073,4.634314477,107.3247919,3.741255652,99.47552282,3.517220531,22
174,42,109.5795487,15.04688418,36.22462987,29.63930967,115.9922016,4.31162665,107.5204326,3.764806611,98.55033483,3.75431739,21
176,21,108.245701,16.08816086,36.10417705,29.5261836,115.6950131,4.494214201,107.1303334,4.0497095,98.28472175,4.02414828,21
183,23,110.1789544,17.22181321,36.28958846,29.72416639,116.3031902,4.884069548,107.7620132,4.22344817,97.94065516,4.183751279,22
171,30,109.9122573,15.35714423,36.48881682,29.79769811,117.4640484,4.347869412,108.1546797,3.78790409,98.9108988,3.760600008,22
171,40,110.6996451,14.80175075,36.5619294,29.87771501,117.4829906,4.233850687,108.4238627,3.656737777,99.22656238,3.59619282,22
222,0,95.99677563,37.26684734,31.83587124,25.45129927,128.0401202,9.409182265,90.96372522,9.848307004,44.72337823,7.70640753,35
232,0,91.82745932,34.39797587,30.65193627,24.91451383,117.7755308,8.456705851,88.9018888,9.226055022,46.1786719,7.114550491,35
239,0,92.38672512,38.91360099,30.81099055,25.35810494,115.5757646,9.878360382,90.20454358,10.3140029,46.36114291,7.817372488,34
214,0,99.48499299,33.3122791,32.94431024,27.2160596,121.5972091,7.964769007,96.82964085,8.908153074,51.64549757,7.422349966,33
214,0,92.84803124,36.75285093,31.10334012,25.59709069,116.2789567,9.061811876,91.09808174,9.800165021,47.58678825,7.512549892,32
205,0,93.76944819,35.93086409,31.46161987,25.9794858,116.505405,8.940035447,92.41304106,9.534881856,48.78121259,7.393764442,34
207,0,93.97439721,35.22805954,31.22079263,25.77780472,116.3028264,8.726526435,91.63080527,9.379640513,47.11973765,7.093934647,35
204,0,90.90575664,36.19198974,29.95728453,24.7036065,112.3377993,9.013674057,87.79252245,9.714204689,44.31614151,6.984860694,32
206,0,92.42985082,36.15824145,30.8372051,25.43923506,115.2509222,8.856015977,90.42840441,9.648608823,46.18939628,7.45071726,31
232,0,88.94247288,35.82256612,28.9379642,23.60033881,111.3750874,8.910323384,84.04783249,9.594451913,41.89112467,7.033391403,30
209,0,84.5636546,38.77669328,28.32349787,23.07297874,107.5420553,10.42773925,82.37361813,10.15299518,44.23048447,6.879892966,53
238,0,93.17952862,36.70472451,31.04153355,25.32115905,116.8642775,9.903320637,90.44156893,9.59271646,49.79840956,6.832490476,53
213,0,92.15658717,37.28567793,30.76889915,25.25042773,114.8139413,9.819910544,90.0162196,9.778701781,48.7209596,7.099902078,53
228,0,91.74476712,38.32562015,29.97552144,24.56541433,112.3405864,10.0592469,87.58622849,10.10182289,47.10921109,7.069921817,52
206,0,93.73642677,37.64974307,30.91609318,25.3745322,115.0244594,9.839219991,90.48707912,9.85339526,49.55291526,7.196293408,53
221,0,93.4456748,37.25253803,30.88611336,25.35962293,115.1018046,9.824537008,90.39700898,9.705853023,48.97168397,7.050776253,51
255,0,93.51962215,37.9536814,31.1366167,25.52428255,115.6178835,9.936636743,91.10111485,9.971688424,50.88602132,6.97305419,53
223,0,93.73045174,39.0343345,31.07542277,25.33047599,116.6344295,10.56393187,90.5452876,10.20275582,50.85594042,7.11620505,53
217,0,91.22127666,37.5214,29.93565273,24.51550767,111.9098391,9.837543778,87.46859802,9.816341998,47.88622007,7.050598206,53
215,0,89.92418537,37.65698672,30.03973757,24.54791601,112.9720899,9.994583158,87.61164048,9.917577033,47.66622054,6.964117574,53
199,0,73.52782174,33.72297688,24.72903386,20.11006387,88.55563599,9.641811016,72.39033623,8.622622242,49.67596801,5.939294199,67
200,0,86.8670216,33.3527693,28.35279534,23.14258765,99.8800809,9.222447199,83.30145202,8.416674264,58.8183151,6.257289266,67
220,0,78.28015993,33.07617271,25.85035217,21.0005681,92.51126356,9.146874529,75.6410274,8.396835544,52.41965488,6.300903812,68
188,0,75.84330247,32.99747646,25.3926042,20.61889277,90.87945567,9.089133771,74.28384259,8.401644241,51.64869949,6.258028165,68
238,0,75.9454957,34.75946945,25.165724,20.49248475,90.12222503,9.520550128,73.71619949,8.856978508,50.07425318,7.126028285,68
195,0,77.24711841,33.44820084,26.01989538,21.16406662,93.16249766,9.245317808,76.17805556,8.534959594,52.22706089,6.402966494,69
196,0,84.76522961,32.62967384,27.94173849,22.85251866,97.61249345,8.886598006,82.2477717,8.234832413,58.85308923,6.694686256,69
195,0,79.49194585,33.72575102,26.24116304,21.35994914,92.27311495,9.578302538,77.00909886,8.506874928,55.80771979,5.968891396,67
196,0,78.55438833,33.19099299,26.13546024,21.23326738,92.68378694,9.265578329,76.55603582,8.396749483,54.69433221,5.983782614,69
191,0,79.2163945,33.6155162,26.65009975,21.58708519,96.45705527,9.579263037,77.7679003,8.512503892,52.96297793,6.189521267,68
189,0,67.94410774,31.11403813,22.50097931,18.2151859,80.1279466,9.277126348,65.76463197,7.715933893,47.5466994,5.981688391,78
225,0,78.15679994,33.7554967,25.83959407,20.920814,90.4546474,9.893712733,75.67015245,8.420684369,57.74004349,6.700821233,78
198,0,71.00799196,31.21933722,23.77747797,19.34334325,84.34749392,8.872210439,69.69183502,7.873714048,49.25978255,6.13266397,77
204,0,71.06422091,31.2273907,23.78374011,19.3745884,83.97747475,9.058575053,69.79210672,7.856099227,49.61626684,5.771006423,79
203,0,73.45603021,32.20892603,24.48138109,19.93709549,86.15979751,9.132338806,71.85475823,8.124691628,51.74580668,6.365298634,76
199,0,69.89124579,29.96076339,23.18499741,18.85802704,82.38549289,8.613672302,67.9365245,7.5155081,47.80656659,5.849086657,76
255,0,69.96296203,31.50934076,23.18289014,18.83521451,81.87112935,9.260027356,67.94000327,7.853429389,49.19914095,6.253534363,76
183,0,75.80815797,30.51735563,24.93080946,20.27947324,87.71196549,8.618630448,73.13508651,7.636056307,53.16690657,5.956314963,76
255,0,70.43312477,32.75475646,23.21516274,18.85122308,81.23306351,9.680980253,68.08478161,8.201549689,50.9848078,6.427039201,76
192,0,75.16761738,30.51193369,25.12982814,20.5138956,86.24427656,8.851000281,74.0387818,7.534863873,56.80629489,5.881788278,76
217,0,79.80434718,34.26097908,26.48138951,21.46637649,92.22303545,10.01232248,77.63787551,8.533194787,59.70834643,6.907312845,85
226,0,59.39611579,27.68547366,19.97661835,16.03541866,70.25467826,8.417113788,58.22831229,6.680436666,46.38256921,5.843524266,85
219,0,73.32519126,31.65944402,24.20218937,19.61069479,84.65575711,9.425550864,70.90847456,7.846588912,53.94755051,5.6819368,83
213,0,76.81195707,31.87121097,25.00371806,20.29146412,86.89973859,9.467616579,73.36166012,7.829181012,56.34363496,6.012014955,87
230,0,72.2665044,32.0323358,24.38747551,19.85683901,83.97265292,9.750405897,71.73772774,7.784553129,55.44345773,6.070147814,82
200,0,61.97006126,27.48044448,19.96678716,16.07559281,69.73990647,8.48634012,58.3270506,6.508124123,46.51178358,5.646315583,82
172,0,61.295419,26.15853447,20.37181301,16.29889456,71.62233492,8.049839812,59.28781004,6.223438337,48.28100963,5.530138288,82
189,0,62.36230125,28.23626604,20.25300795,16.33771813,70.64945333,8.713589094,59.22687103,6.688170655,46.81290731,5.975118832,82
179,0,63.5260896,26.83303022,20.82523073,16.72584,72.78287598,8.147471766,60.75887346,6.368465311,49.13166854,5.618667754,86
218,0,61.24932847,29.99242406,19.63889638,15.79415084,68.33422372,9.105740517,57.36157267,7.288320419,46.59053171,6.451383691,87
162,0,46.03139918,22.8404997,15.27403541,12.58126291,46.71591938,5.97225375,45.64182239,5.834413524,44.97604424,6.046247898,22
191,0,51.44507015,28.58252413,16.48058943,13.66668377,49.61420922,7.646289077,49.46458193,7.350254986,48.70801113,7.554372133,22
147,0,45.74694444,23.93893225,14.75707992,12.19805438,44.95664609,6.318073231,44.18557987,6.124379678,43.1015245,6.241652301,21
176,0,46.40630238,26.31904408,14.81050774,12.29305641,44.72524645,7.019192605,44.46321315,6.738775295,43.25271184,6.859400398,22
182,0,47.67734007,26.41650876,15.42513587,12.83833676,46.39671203,7.034141483,46.38376871,6.790027872,44.84480967,6.925376978,21
170,0,50.2402703,27.72578208,16.11698119,13.33891717,48.91688318,7.439114193,48.29977553,7.124636033,47.19133979,7.401299362,20
180,0,51.94078704,27.61393845,17.26058057,14.30544848,52.0769407,7.399067283,51.78361719,7.144341478,50.89392116,7.445581481,20
187,0,56.25157735,29.45135816,18.13443924,15.07470968,54.51323326,7.753857804,54.49943229,7.656370304,53.12756734,7.753489521,22
189,0,56.15694912,29.81509463,18.11909512,15.05289566,54.92372896,7.97383389,54.40678451,7.768042102,52.19900673,7.777766038,22
205,0,61.49314862,33.39763511,20.55378052,17.04539333,61.94980172,8.745616547,61.6867298,8.749985255,60.5604508,8.847365706,22
137,0,25.70977086,17.34911095,8.307300836,6.87377528,24.96963103,4.678412687,24.90872989,4.527173982,24.91184671,4.585980436,40
146,0,29.73422045,17.34630557,9.90385583,8.202458069,29.81969603,4.637146271,29.70625468,4.498776715,29.44580013,4.559932312,40
118,0,26.08799009,16.74679973,8.876496173,7.390111046,26.36917228,4.569691737,26.71721147,4.318007655,26.52704779,4.426035506,39
157,0,27.9307038,18.12613277,9.0151186,7.500722066,26.82519641,5.036139429,27.12297091,4.699413148,26.92479564,4.829135376,42
161,0,28.71266648,17.76607936,9.101773986,7.599289782,27.00792181,4.844819347,27.4362037,4.531261636,26.88455527,4.586854555,40
