max_gray_scale,min_gray_scale,mean_gray_scale,std_gray_scale,mean_luminance,std_luminance,mean_red,std_red,mean_green,std_green,mean_blue,std_blue,ntu
255,101,193.2572914,22.47140137,63.91604134,52.915759,189.6751786,4.974022008,191.8559025,5.800510998,196.7844814,5.693589326,0
255,86,194.311257,23.41708784,64.2450588,53.21121491,190.4389773,5.258872799,192.8985335,6.065015786,197.878375,5.89523927,0
255,0,190.288736,34.26814423,63.16284203,52.30751386,187.3201048,8.21831473,189.6302516,8.295250891,194.4697489,9.531261967,0
255,0,194.4880326,34.23298838,64.67233659,53.53166983,191.5619066,8.171736692,194.1301291,8.355878796,200.1257637,9.483631541,0
255,45,191.2749514,27.49512772,63.76403551,52.75378645,189.5478531,6.451980719,191.3139773,6.833737904,196.2115848,7.317643876,0
255,71,188.7995585,28.63741498,62.0306785,51.34969993,184.0185676,6.685954204,186.1911831,7.093704013,191.2154274,7.730042701,1
255,71,188.5107931,28.26764187,62.00361515,51.28907562,184.1751702,6.531527902,186.0260297,7.003653686,191.265759,7.642984835,1
255,72,187.1488524,28.01978986,62.13309572,51.45395147,184.1442981,6.523249284,186.5449537,6.966479071,191.5963781,7.528316943,1
255,72,186.1353942,28.20570287,62.06002027,51.36399565,184.1648878,6.488411611,186.2574827,6.966180084,191.347009,7.670535916,0
255,64,186.1804583,27.39213859,62.05380359,51.37031085,184.0412902,6.417022425,186.2661359,6.784425444,191.3669262,7.414275137,0
255,70,185.196625,30.32720893,61.48974355,50.94159855,182.1422278,7.069645083,184.6562491,7.357334702,189.4687491,8.486825346,0
255,69,186.2137103,30.40109092,61.32008022,50.82343624,181.4671638,7.217624162,184.1980074,7.381040518,188.946077,8.50547988,0
255,54,193.167746,24.37425169,64.137839,53.11730778,190.0930612,5.433250907,192.569162,6.27844143,197.7045366,6.22816386,1
255,0,190.6789413,31.71163269,62.69933433,51.93772588,185.8073452,7.539564754,188.2727652,7.805907833,193.111908,8.561144103,0
255,0,190.6717616,32.83871649,62.68353167,51.82146863,186.445202,7.638533226,187.9959231,8.094036686,193.3194024,8.911102531,1
255,0,188.5432796,31.86864992,62.51865129,51.78515588,185.2602708,7.536132688,187.7257117,7.827136656,192.6342279,8.651108049,1
255,0,190.4728736,30.68015866,62.9319732,52.10988099,186.6399476,7.075693137,188.925217,7.63048068,193.8635947,8.202435329,1
255,83,189.3452413,28.79225278,63.04398161,52.19352775,186.7896006,6.556230902,189.2565376,7.110004866,194.7950145,7.853757594,1
255,92,192.6446923,28.65664601,63.56447255,52.62681388,188.2900996,6.53117062,190.8259451,7.05923192,196.4574313,7.868727825,0
255,92,191.383447,29.77129049,63.46524786,52.55653792,187.9375898,6.812049223,190.5531795,7.316110223,196.0744879,8.169229659,0
255,95,192.960694,29.40438002,63.3490247,52.4437145,187.7430317,6.708137241,190.1648971,7.231104246,195.6644201,8.099589233,0
255,97,191.1963524,27.98636943,63.69457214,52.72964294,188.7434371,6.349184079,191.2034283,6.98531366,196.7890554,7.49078628,0
255,97,191.2542359,27.82255498,63.71495367,52.7562168,188.832175,6.32255649,191.2803381,6.963987965,196.6127811,7.40717417,0
255,77,191.8329704,24.90813144,63.78212225,52.80860907,189.1410924,5.501847491,191.4692527,6.392559931,196.6227282,6.377168908,0
255,80,192.2309292,29.48628391,63.53953967,52.61675162,188.2030845,6.723635424,190.7710195,7.30113151,196.2217466,7.996764583,0
255,88,190.3436293,29.43665107,63.39726386,52.5176997,187.7196539,6.73409006,190.3816204,7.27419859,195.5908347,7.982565475,0
255,88,190.0293013,29.57440921,63.35962601,52.4775086,187.6029868,6.780527452,190.2526539,7.283675562,195.6479915,8.059289042,0
255,96,192.8669206,28.26677294,63.59721007,52.66667722,188.391973,6.413260761,190.9469487,7.045686203,196.3191007,7.593157812,0
255,100,191.9466723,27.33498283,63.50660056,52.56952599,188.202103,6.252950622,190.6300444,6.787589917,196.252449,7.364923848,0
255,92,191.0615095,27.50654788,63.43047628,52.48127175,188.1264773,6.207959772,190.3465484,6.844984053,196.1203376,7.460789055,0
255,83,191.9889188,28.80904865,63.2612268,52.3639193,187.4880523,6.567178632,189.8881762,7.093156068,195.5082669,7.912608029,0
255,95,189.7761953,27.99069813,63.09892441,52.2276636,187.1407225,6.367802585,189.3891367,6.944224968,194.7305406,7.598246096,1
